rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
73,"spotify:track:5AEtlRudpgdT5FtNiuly6Y","Hailee Steinfeld, Alesso, Florida Georgia Line, WATT","Let Me Go (with Alesso, Florida Georgia Line & watt)","Universal Records",14,63,109,"1170494"
74,"spotify:track:42CeaId2XNlxugDvyqHfDf","Post Malone","Candy Paint","Republic Records",16,69,97,"1168710"
75,"spotify:track:2qqZ5fOGuNvYVzgPFDLQ4l","Boney M.","Mary's Boy Child / Oh My Lord","Sony Music Catalog",75,90,3,"1165004"
76,"spotify:track:32DGGj6KlNuBr6WaqRxpxi","Charlie Puth","How Long","Artist Partner",15,73,79,"1139522"
77,"spotify:track:6keKIzkXWdbwJWMBJQUwYl","Frank Sinatra","The First Noel - Remastered 1999","Capitol Records",77,131,2,"1133154"
78,"spotify:track:46pF1zFimM582ss1PrMy68","Darlene Love","Christmas (Baby Please Come Home)","Legacy Recordings",78,114,2,"1126698"
79,"spotify:track:6s2wpWPFPAgKg2LXxi1Oee","Bruce Springsteen","Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","NITRON concepts",79,86,3,"1126000"
80,"spotify:track:3a1lNhkSLSkpJE4MSHpDu9","Post Malone, Quavo","Congratulations","Universal Records",20,75,336,"1123782"
81,"spotify:track:6De0lHrwBfPfrhorm9q1Xl","Danny Ocean","Me Rehúso","Atlantic Records",18,81,312,"1123095"
82,"spotify:track:3eLWJ29j2FGM91T7aGlHHW","Nat King Cole","Joy To The World","CAPITOL CATALOG MKT (C92)",82,125,2,"1120234"
83,"spotify:track:33bnxcjePIkcmNjEFTJX0l","Piso 21, Manuel Turizo","Déjala Que Vuelva (feat. Manuel Turizo)","WM Mexico",54,80,52,"1117448"
84,"spotify:track:5Ber68jZ7ytegr2UISEdb7","Michael Bublé","Santa Claus Is Coming to Town","Reprise",67,67,4,"1116835"
85,"spotify:track:550rQQCGkrTzvp4SfpOPzx","Pentatonix","Hallelujah","RCA Records Label",52,52,18,"1103946"
86,"spotify:track:2DQ1ITjI0YoLFzuADN1ZBW","G-Eazy, A$AP Rocky, Cardi B","No Limit","BPG/RVG/RCA Records",22,70,87,"1095962"
87,"spotify:track:7faDzZnZYqTyYThx2sbHVQ","Frank Sinatra","Mistletoe And Holly - Remastered 1999","Capitol Records",87,137,2,"1094127"
88,"spotify:track:0Ie5uiv54KgCr7P4sYDTHl","Idina Menzel, Michael Bublé","Baby It's Cold Outside (with Michael Bublé)","Warner Records",88,89,3,"1092607"
89,"spotify:track:4FPrAERfkPKOBKrRoyuxLu","Michael Bublé","Cold December Night","Reprise",88,88,4,"1075338"
90,"spotify:track:4EZUcj7c8n9pWIwHqN0DoH","Bing Crosby","Do You Hear What I Hear? - Remastered 2006","Capitol Records",90,140,2,"1074534"
91,"spotify:track:25leEEaz1gIpp7o21Fqyjo","Gene Autry","Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version","Columbia/Legacy",91,117,2,"1063736"
92,"spotify:track:2xmrfQpmS2iJExTlklLoAL","Clean Bandit, Julia Michaels","I Miss You (feat. Julia Michaels)","Atlantic Records UK",20,83,60,"1062357"
93,"spotify:track:597IVBYr60vm0HKjgOnztJ","Carpenters","Sleigh Ride","A&M",93,181,2,"1046060"
94,"spotify:track:0xPaZrF25ltzvz1a2Pm5DQ","Michael Bublé","All I Want for Christmas Is You","Reprise",94,95,3,"1044609"
95,"spotify:track:78pn8k7RogKo2oxl0DyX6d","Leona Lewis","One More Sleep","Syco Music",95,103,3,"1039082"
96,"spotify:track:2fQrGHiQOvpL9UgPvtYy6G","21 Savage","Bank Account","Slaughter Gang, LLC/Epic Records",21,93,172,"1033045"
97,"spotify:track:75FDPwaULRdYDn4StFN2rT","Cardi B, 21 Savage","Bartier Cardi (feat. 21 Savage)","KSR/Atlantic",57,79,4,"1031904"
98,"spotify:track:5tz69p7tJuGPeMGwNTxYuV","Logic, Alessia Cara, Khalid","1-800-273-8255","Def Jam Recordings",3,91,242,"1030667"
99,"spotify:track:7sO5G9EABYOXQKNPNiE9NR","Offset, Metro Boomin","Ric Flair Drip (with Metro Boomin)","Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",29,85,56,"1022763"
100,"spotify:track:7iDa6hUg2VgEL1o1HjmfBn","Bebe Rexha, Florida Georgia Line","Meant to Be (feat. Florida Georgia Line)","Warner Records",25,92,103,"1009323"
101,"spotify:track:6UrKVLhzBYZY6fXmNyCLDi","Bing Crosby, The Andrews Sisters","Mele Kalikimaka - Single Version","Geffen",101,183,2,"1001391"
102,"spotify:track:70lnL3QaSOIIyMa2X9aVRL","Shakira, Nicky Jam","Perro Fiel (feat. Nicky Jam)","Sony Music Latin",40,94,81,"999418"
103,"spotify:track:5lyikKk6KFWfWCuDDir9Fx","Miley Cyrus","Rockin' Around The Christmas Tree","RCA Records Label",82,82,3,"998504"
104,"spotify:track:1mH6tZC6iXIHPI6EixCwxw","Wizzard","I Wish It Could Be Christmas Everyday","Parlophone UK",104,123,2,"960314"
105,"spotify:track:5wTM2Bm8phDwHAuOsfBwhU","Pretenders","2000 Miles - 2007 Remaster","Rhino/Warner Records",105,139,2,"953064"
106,"spotify:track:7KXjTSCq5nL1LoYtL7XAwS","Kendrick Lamar","HUMBLE.","Aftermath",1,96,270,"947767"
107,"spotify:track:15coTBAzEN1bOeipoNDZAR","*NSYNC","Merry Christmas, Happy Holidays","RCA Records Label",74,74,3,"943136"
108,"spotify:track:1hy6kKvsPbv7VTcllCuATC","Meghan Trainor","I'll Be Home","Epic",54,54,6,"942889"
109,"spotify:track:3B54sVLJ402zGa6Xm4YGNe","French Montana, Swae Lee","Unforgettable","Bad Boy Entertainment/Epic Records",3,97,261,"940757"
110,"spotify:track:4MrfQL4TYQXJBlZYpAHTuE","Dean Martin","Baby, It's Cold Outside","Capitol Records",110,171,2,"939882"
111,"spotify:track:1QXg7pVx5hpAZWw8KIAcGw","Carpenters","Merry Christmas Darling - Remix","A&M",111,175,2,"939399"
112,"spotify:track:6Tof6kPUc2a17GKaKz4IXz","Thurl Ravenscroft","You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'","Sony Classical",112,-1,1,"936860"
113,"spotify:track:7ofxPmTNMj2GP07g1VZa0O","Alex Sensation, Ozuna","Que Va","JP Entertainment (Jorge Pino)",47,99,122,"932443"
114,"spotify:track:3iwZ8hg0q1kTBB5kjg0nO4","Slade","Merry Xmas Everybody","BMG Rights Management (UK) Ltd",106,106,2,"928668"
115,"spotify:track:2zHu4GAsQIw2skGszWEMFY","Bing Crosby","The Little Drummer Boy - Remastered 2006","Capitol Records",115,198,2,"921246"
116,"spotify:track:5CtI0qwDJkDQGwXD1H1cLb","Luis Fonsi, Daddy Yankee, Justin Bieber","Despacito - Remix","UMLE - Latino",1,109,253,"919267"
117,"spotify:track:095XSaT8I2uI6Uldj2QrSl","Jona Lewie","Stop The Cavalry","Stiff Records",117,138,2,"910681"
118,"spotify:track:3WrG9BpOPQWUus3FjA1Tny","Destiny's Child","8 Days of Christmas","Columbia",116,116,2,"907992"
119,"spotify:track:05X6aMCQR09E6smUmw9qms","Queen","Thank God It's Christmas - Non-Album Single","EMI",56,56,3,"901345"
120,"spotify:track:6QgjcU0zLnzq5OrUoSZ3OK","Portugal. The Man","Feel It Still","Atlantic Records",17,101,167,"890724"
121,"spotify:track:0qYTZCo5Bwh1nsUFGZP3zn","Maluma","Felices los 4","Sony Music Latin",16,115,249,"890591"
122,"spotify:track:1DnSNqCQM3LUxqFuXt184Q","Michael Bublé","Have Yourself a Merry Little Christmas","Reprise",119,119,2,"890161"
123,"spotify:track:0Zbbxnx4SGGHoIow4PpISP","Kygo, Justin Jesso","Stargazing","Kygo",15,108,95,"886346"
124,"spotify:track:66WPXyhXqMlkM1kZhyEXWK","Michael Bublé","Christmas (Baby Please Come Home)","Reprise",100,100,2,"881738"
125,"spotify:track:3VClLWqNn80Llv0PJOsKgr","Nacho, Yandel, Bad Bunny, Mambo Kingz, DJ Luian","Báilame - Remix","UMLE - Latino",52,105,132,"873713"
126,"spotify:track:4iLqG9SeJSnt0cSPICSjxv","Charlie Puth","Attention","Artist Partner",5,107,249,"873107"
127,"spotify:track:3whrwq4DtvucphBPUogRuJ","Camila Cabello, Daddy Yankee","Havana - Remix","Syco Music/Epic",50,113,41,"844662"
128,"spotify:track:2qoZNAP3JLyIOtbsPtBjvV","Stevie Wonder","What Christmas Means To Me","UNI/MOTOWN",128,141,2,"840196"
129,"spotify:track:6RUKPb4LETWmmr3iAEQktW","The Chainsmokers, Coldplay","Something Just Like This","Disruptor Records/Columbia",2,120,306,"838664"
130,"spotify:track:1YZfcVLbbJwfizR5cDOp3q","Migos, Nicki Minaj, Cardi B","MotorSport","Quality Control Music, LLC",30,110,60,"836450"
131,"spotify:track:7EI6Iki24tBHAMxtb4xQN2","Rita Ora","Anywhere","Rita Sahatciu Ora",42,124,65,"832355"
132,"spotify:track:0CcQNd8CINkwQfe1RDtGV6","Imagine Dragons","Believer","Kid Ina Korner / Interscope",15,132,327,"812911"
133,"spotify:track:5TysCiZtv1HnSWcTcUFusI","Joey Montana, Sebastian Yatra","Suena El Dembow","UMLE - Latino",59,121,103,"811619"
134,"spotify:track:0OlnLZY4cmQzT6ZGttvWBM","Martin Garrix, David Guetta, Jamie Scott, Romy Dya","So Far Away (feat. Jamie Scott & Romy Dya)","Epic Amsterdam",52,130,25,"808479"
135,"spotify:track:3m660poUr1chesgkkjQM7P","Demi Lovato","Sorry Not Sorry","Island Records",7,118,168,"807610"
136,"spotify:track:1KSqYYJFyfTecXFk9M0prc","Wisin, Ozuna","Escápate Conmigo (feat. Ozuna)","Sony Music Latin",36,127,266,"803828"
137,"spotify:track:0JcNysfWVWaMS7R6vzGB2k","Carlos Vives, Sebastian Yatra","Robarte un Beso","Sony Music Latin",61,134,143,"802995"
138,"spotify:track:5ymVfeMK8cDew5vzntTuc7","Andy Williams","Sleigh Ride","Columbia/Legacy",138,-1,1,"799875"
139,"spotify:track:4aWmUDTfIPGksMNLV2rQP2","Luis Fonsi, Daddy Yankee","Despacito","UMLE - Latino",3,153,346,"797754"
140,"spotify:track:0i7lZhEMEheehKyCtBJIIL","Carpenters","Silent Night","A&M",140,-1,1,"797142"
141,"spotify:track:56dllQaFZBw3SPTiKZvqYH","Kay Starr","The Man with the Bag","Universal Digital Enterprises",141,-1,1,"793957"
142,"spotify:track:6VpQdig9pdpTSIFItgkJV5","Camila Cabello","Never Be the Same","Syco Music/Epic",38,122,19,"791939"
143,"spotify:track:4FQJyi8gnbhKy623wNx6Ps","Nat King Cole Trio","All I Want For Christmas (Is My Two Front Teeth)","Capitol Records",143,-1,1,"779360"
144,"spotify:track:6C81GGUCNbEmR8gMIi0CpH","Gwen Stefani, Blake Shelton","You Make It Feel Like Christmas (feat. Blake Shelton)","UMGRI Interscope",77,77,3,"772903"
145,"spotify:track:7m9OqQk4RVRkw9JJdeAw96","XXXTENTACION","Jocelyn Flores","Bad Vibes Forever / EMPIRE",15,149,123,"767306"
146,"spotify:track:2uFaJJtFpPDc5Pa95XzTvg","Dean Martin","Let It Snow! Let It Snow! Let It Snow!","Capitol Records",112,112,2,"766341"
147,"spotify:track:693iqPOQvhI7PobtR8CC8v","J Balvin, Jowell & Randy","Bonita","Rimas (J Balvin - Jowell & Randy)",37,145,201,"765581"
148,"spotify:track:1wjzFQodRWrPcQ0AnYnvQ9","Lauv","I Like Me Better","Lauv",24,147,204,"765520"
149,"spotify:track:2771LMNxwf62FTAdpJMQfM","Cardi B","Bodak Yellow","KSR/Atlantic",15,128,150,"764841"
150,"spotify:track:4zWO4gvuFtw6EJZC5FFGlr","MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán","Bum Bum Tam Tam","Universal-Island Records Ltd.",115,135,10,"763747"
151,"spotify:track:4ricyQVd20UQde1jpXCSuJ","Tony Bennett","Winter Wonderland","Columbia/Legacy",129,129,2,"749499"
152,"spotify:track:0OI7AFifLSoGzpb8bdBLLV","Machine Gun Kelly, X Ambassadors, Bebe Rexha","Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Atlantic Records",63,142,34,"748653"
153,"spotify:track:2OALaHcDdKkjYEpAr0Qzab","Avicii, Rita Ora","Lonely Together (feat. Rita Ora)","Universal Music AB",19,146,137,"745198"
154,"spotify:track:4RppWtszgz5gPVOKUQazCH","Bing Crosby","I'll Be Home For Christmas - Single Version","Geffen",154,-1,1,"738342"
155,"spotify:track:3ncgNpxLoBQ65ABk4djDyd","Famous Dex, A$AP Rocky","PICK IT UP (feat. A$AP Rocky)","300 Entertainment",54,143,45,"731652"
156,"spotify:track:4LUAIXN6bpnEVaJZOLfuDt","Perry Como","Here We Come a-Caroling / We Wish You a Merry Christmas","RCA Records Label",156,-1,1,"727831"
157,"spotify:track:4WN9xLkAeINLPLaoeZ9ZW9","Nat King Cole","The Happiest Christmas Tree","CAPITOL CATALOG MKT (C92)",157,-1,1,"726518"
158,"spotify:track:29UQV9kjexf0TJAR0UElID","Sam Smith","River - Recorded At RAK Studios, London","Capitol",126,126,2,"726028"
159,"spotify:track:5yFSF6qQA1rcLsQRnBsZgb","Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander","All Falls Down (feat. Juliander)","MER Recordings",52,173,60,"724162"
160,"spotify:track:7nZmah2llfvLDiUjm0kiyz","Justin Bieber, BloodPop®","Friends (with BloodPop®)","BloodPop/DJ/RMBG/Republic",2,152,131,"721061"
161,"spotify:track:6DwnAl6l63e83dDgIzY8P4","Michael Bublé","Santa Baby","Reprise",159,159,2,"719188"
162,"spotify:track:4HEOgBHRCExyYVeTyrXsnL","Frank Sinatra","Jingle Bells - Remastered 1999","Capitol Records",148,148,2,"715546"
163,"spotify:track:6ScCr1C4VIFzulq8bP65mj","Bing Crosby","What Child Is This/The Holly And The Ivy - Medley / Remastered 2006","Capitol Records",163,-1,1,"709405"
164,"spotify:track:2z4pcBLQXF2BXKFvd0BuB6","Jason Derulo, French Montana","Tip Toe (feat. French Montana)","Beluga Heights/Warner Records",55,150,46,"708359"
165,"spotify:track:79cuOz3SPQTuFrp8WgftAu","Shawn Mendes","There's Nothing Holdin' Me Back","Island Records",5,162,250,"697423"
166,"spotify:track:4dVpf9jZjcORqGTLUaeYj9","A$AP Ferg","Plain Jane","RCA Records Label",33,155,99,"692392"
167,"spotify:track:0leIhGny91OrU4mjcshsjI","Mud","Lonely This Christmas","Parlophone UK",167,-1,1,"690257"
168,"spotify:track:0lJCqIx5BhZtf6QtYI2fbv","Daddy Yankee, Bad Bunny","Vuelve","El Cartel Records (EC3)",66,154,84,"689238"
169,"spotify:track:2VsCE6ui7N4IRzGIGT7Di8","Tony Bennett","O Christmas Tree","RPM Records/Columbia",169,-1,1,"683905"
170,"spotify:track:71bBFbfn2OBK5QwUJSLS44","Axwell /\ Ingrosso","More Than You Know","EMI",14,166,212,"682303"
171,"spotify:track:5D30yNI3b0HAuaBWAGOImI","Perry Como","Medley: Caroling, Caroling / The First Noel / Hark! The Herald Angels Sing / Silent Night","RCA Records Label",171,-1,1,"682284"
172,"spotify:track:5TmZYdHW6HJ9gt7Aokuql5","Sebastian Yatra, Dalmata","SUTRA","UMLE - Latino",96,163,59,"678260"
173,"spotify:track:1uPEDUtTJZOkj7CjGDtZGv","Bing Crosby","God Rest Ye Merry Gentlemen","Geffen",173,-1,1,"676979"
174,"spotify:track:6NWl2m8asvH83xjuXVNsuG","Lil Xan","Betrayed","Columbia",52,172,52,"675503"
175,"spotify:track:0afhq8XCExXpqazXczTSve","Ed Sheeran","Galway Girl","Atlantic Records UK",2,182,298,"674032"
176,"spotify:track:0ERbK7qVqveCaBWIiYCrl3","Romeo Santos, Daddy Yankee, Nicky Jam","Bella y Sensual","Sony Music Latin",95,161,151,"673594"
177,"spotify:track:1BB9hv4471pPlNqOAnDglV","Lou Monte","Dominick the Donkey (The Italian Christmas Donkey)","Warner Music Group - X5 Music Group",177,-1,1,"667717"
178,"spotify:track:7MHN1aCFtLXjownGhvEQlF","Manuel Turizo","Una Lady Como Tú","Sony Music Latin/La Industria",38,177,205,"664250"
179,"spotify:track:59g1IKRYrCBsYLdd0WhKus","Bing Crosby","Hark! The Herald Angels Sing/It Came Upon A Midnight Clear - Medley / Remastered 2006","Capitol Records",179,-1,1,"662336"
180,"spotify:track:4Zo33RKIwOIiVsZZtXsKU4","Bing Crosby, The Andrews Sisters","Twelve Days Of Christmas","Geffen",180,-1,1,"657489"
181,"spotify:track:6PGoSes0D9eUDeeAafB2As","Kendrick Lamar, Zacari","LOVE. FEAT. ZACARI.","Aftermath",15,170,256,"657324"
